SRA_Experiment,SRR_ID,SRX_ID,Organism,Sample,Phase,Strain,Stage
SRP025507_1,SRR896228,SRX301558,M.Polymorpha;WT,Thallus,Vegetative,Tak1,7dap
SRP025507_2,SRR896225,SRX301555,M.Polymorpha;WT,Archegoniophore,Sexual,Tak2BC4,Mature
SRP025507_3,SRR896226,SRX301560,M.Polymorpha;WT,Thallus,Vegetative,Tak1,7dap
SRP025507_4,SRR896229,SRX301557,M.Polymorpha;WT,Thallus,Vegetative,Tak1,7dap
SRP025507_5,SRR896224,SRX301559,M.Polymorpha;WT,Sporeling,Vegetative,Tak1xTak2BC4,5dap
SRP025507_6,SRR896230,SRX301553,M.Polymorpha;WT,Antheridiophore,Sexual,Tak1,Mature
SRP025507_7,SRR896227,SRX301554,M.Polymorpha;WT,Thallus,Vegetative,Tak1xTak2BC4,1 month
SRP025507_8,SRR896223,SRX301556,M.Polymorpha;WT,Sporophyte,Sexual,Tak1xTak2BC4,2n
SRP029610_1,SRR971246,SRX346276,M.Polymorpha;WT,Archegoniophore,Sexual,Tak2,Immature
SRP029610_2,SRR971244,SRX346274,M.Polymorpha;WT,Thallus,Vegetative,Tak2,1 month
SRP029610_3,SRR971248,SRX346277,M.Polymorpha;WT,Antheridiophore,Sexual,Tak1,Mature
SRP029610_4,SRR971249,SRX346278,M.Polymorpha;WT,Archegoniophore,Sexual,Tak2,Mature
SRP029610_5,SRR971243,SRX346272,M.Polymorpha;WT,Thallus,Vegetative,Tak1,1 month
SRP029610_6,SRR971245,SRX346275,M.Polymorpha;WT,Antheridiophore,Sexual,Tak1,Immature
SRP049386_1,SRR1553299,SRX682817,M.Polymorpha;WT,Sporophyte,Sexual,Tak1xTak2,2n
SRP049386_2,SRR1552617,SRX682160,M.Polymorpha;WT,Whole_Plant,Vegetative,Tak1xTak2,9dap
SRP049386_3,SRR1553294,SRX682811,M.Polymorpha;WT,Apical_Notch,Vegetative,Tak1xTak2,9dap
SRP049386_4,SRR1553297,SRX682815,M.Polymorpha;WT,Sporophyte,Sexual,Tak1xTak2,2n
SRP049386_5,SRR1553296,SRX682814,M.Polymorpha;WT,Apical_Notch,Vegetative,Tak1xTak2,9dap
SRP049386_6,SRR1553276,SRX682793,M.Polymorpha;WT,Whole_Plant,Vegetative,Tak1xTak2,9dap
SRP049386_7,SRR1553295,SRX682813,M.Polymorpha;WT,Apical_Notch,Vegetative,Tak1xTak2,9dap
SRP049386_8,SRR1553298,SRX682816,M.Polymorpha;WT,Sporophyte,Sexual,Tak1xTak2,2n
SRP092062_1,SRR4450256,SRX2268333,M.Polymorpha;WT,Sporeling,Vegetative,Cam1xCam2,4dap
SRP092062_2,SRR4450264,SRX2268341,M.Polymorpha;WT,Sporeling,Vegetative,Cam1xCam2,2dap
SRP092062_3,SRR4450261,SRX2268338,M.Polymorpha;WT,Sporophyte,Sexual,Cam1xCam2,n
SRP092062_4,SRR4450263,SRX2268340,M.Polymorpha;WT,Sporeling,Vegetative,Cam1xCam2,2dap
SRP092062_5,SRR4450258,SRX2268335,M.Polymorpha;WT,Sporeling,Vegetative,Cam1xCam2,3dap
SRP092062_6,SRR4450265,SRX2268342,M.Polymorpha;WT,Sporeling,Vegetative,Cam1xCam2,1dap
SRP092062_7,SRR4450255,SRX2268332,M.Polymorpha;WT,Sporeling,Vegetative,Cam1xCam2,4dap
SRP092062_8,SRR4450257,SRX2268334,M.Polymorpha;WT,Sporeling,Vegetative,Cam1xCam2,3dap
SRP092062_9,SRR4450267,SRX2268344,M.Polymorpha;WT,Sporeling,Vegetative,Cam1xCam2,3dap
SRP092062_10,SRR4450254,SRX2268331,M.Polymorpha;WT,Sporeling,Vegetative,Cam1xCam2,4dap
SRP092062_11,SRR4450260,SRX2268337,M.Polymorpha;WT,Sporophyte,Sexual,Cam1xCam2,n
SRP092062_12,SRR4450268,SRX2268345,M.Polymorpha;WT,Sporeling,Vegetative,Cam1xCam2,2dap
SRP092062_13,SRR4450266,SRX2268343,M.Polymorpha;WT,Sporeling,Vegetative,Cam1xCam2,1dap
SRP092062_14,SRR4450262,SRX2268339,M.Polymorpha;WT,Sporophyte,Sexual,Cam1xCam2,n
SRP092062_15,SRR4450259,SRX2268336,M.Polymorpha;WT,Sporeling,Vegetative,Cam1xCam2,1dap
DRP003274_1,DRR050343,DRX045349,M.Polymorpha;WT,Whole_Plant,Vegetative,Tak1xTak2,11dap
DRP003274_2,DRR050346,DRX045352,M.Polymorpha;WT,Antheridiophore,Sexual,Tak1xTak2,Mature
DRP003274_3,DRR050347,DRX045353,M.Polymorpha;WT,Antheridiophore,Sexual,Tak1xTak2,Mature
DRP003274_4,DRR050348,DRX045354,M.Polymorpha;WT,Antheridiophore,Sexual,Tak1xTak2,Mature
DRP003274_5,DRR050353,DRX045359,M.Polymorpha;WT,Archegoniophore,Sexual,Tak1xTak2,Mature
DRP003274_6,DRR050344,DRX045350,M.Polymorpha;WT,Whole_Plant,Vegetative,Tak1xTak2,11dap
DRP003274_7,DRR050351,DRX045357,M.Polymorpha;WT,Archegoniophore,Sexual,Tak1xTak2,Mature
DRP003274_8,DRR050349,DRX045355,M.Polymorpha;WT,Antheridium,Sexual,Tak1xTak2,Mature
DRP003274_9,DRR050352,DRX045358,M.Polymorpha;WT,Archegoniophore,Sexual,Tak1xTak2,Mature
DRP003274_10,DRR050345,DRX045351,M.Polymorpha;WT,Whole_Plant,Vegetative,Tak1xTak2,11dap
DRP003274_11,DRR050350,DRX045356,M.Polymorpha;WT,Antheridium,Sexual,Tak1xTak2,Mature
DRP003976_1,DRR118950,DRX111959,M.Polymorpha;WT,Whole_Plant,Vegetative,Tak1,7dap
DRP003976_2,DRR118945,DRX111954,M.Polymorpha;WT,Whole_Plant,Vegetative,Tak2BC3,7dap
DRP003976_3,DRR118951,DRX111960,M.Polymorpha;WT,Whole_Plant,Vegetative,Tak1,7dap
DRP003976_4,DRR118943,DRX111952,M.Polymorpha;WT,Whole_Plant,Vegetative,Tak2BC3,7dap
DRP003976_5,DRR118944,DRX111953,M.Polymorpha;WT,Whole_Plant,Vegetative,Tak2BC3,7dap
DRP003976_6,DRR118949,DRX111958,M.Polymorpha;WT,Whole_Plant,Vegetative,Tak1,7dap
DARIO_1,wtEC_1,wtEC_1_counts,M.Polymorpha;WT,EggCell,EggCell,Tak2BCx,Mature
DARIO_2,wtEC_2,WtEC_2_counts,M.Polymorpha;WT,EggCell,EggCell,Tak2BCx,Mature
DARIO_3,wtEC_3,WtEC_3_counts,M.Polymorpha;WT,EggCell,EggCell,Tak2BCx,Mature
DARIO_4,wtEM_1,wtEM_1_counts,M.Polymorpha;WT,Sporophyte,Sexual,Tak2BCx,2n_Early
DARIO_5,wtEM_2,WtEM_2_counts,M.Polymorpha;WT,Sporophyte,Sexual,Tak2BCx,2n_Early
DARIO_6,wtEM_3,WtEM_3_counts,M.Polymorpha;WT,Sporophyte,Sexual,Tak2BCx,2n_Early
